EOCRC_1	14	59130000	60848000	1718	0.584963
EOCRC_1	14	60848000	60860000	12	0.584963
EOCRC_1	14	60860000	60931000	71	0.584963
EOCRC_1	14	60931000	60970000	39	0.584963
EOCRC_1	14	60970000	61567000	597	0
EOCRC_1	14	61567000	61813000	246	0.584963
EOCRC_1	14	61813000	61818000	5	0.584963
EOCRC_1	14	61818000	62373000	555	0
EOCRC_1	14	62373000	62529000	156	0.584963
EOCRC_1	14	62529000	64998000	2469	0
EOCRC_1	14	64998000	65201000	203	0
EOCRC_1	14	65201000	66046000	845	0
EOCRC_1	14	66046000	66236000	190	0
EOCRC_1	14	66236000	66259000	23	0
EOCRC_1	14	66259000	70021000	3762	0
EOCRC_1	14	70021000	70244000	223	0
EOCRC_1	14	70244000	77854000	7610	0
EOCRC_1	14	77854000	78031000	177	0
EOCRC_1	14	78031000	91565000	13534	0
EOCRC_1	14	91565000	91636000	71	0
EOCRC_1	14	91636000	91655000	19	0
EOCRC_1	14	91655000	91849000	194	0
EOCRC_1	14	91849000	92096000	247	0
EOCRC_1	14	92096000	92099000	3	0
EOCRC_1	14	92099000	93252000	1153	0
EOCRC_1	14	93252000	93309000	57	0
EOCRC_1	14	93309000	93310000	1	0
EOCRC_1	14	93310000	94507000	1197	0
EOCRC_1	14	94507000	94838000	331	0
EOCRC_1	14	94838000	94843000	5	0
EOCRC_1	14	94843000	96395000	1552	0
EOCRC_1	14	96395000	96516000	121	0
EOCRC_1	14	96516000	96530000	14	0
EOCRC_1	14	96530000	103391000	6861	0
EOCRC_1	14	103391000	103750000	359	0
EOCRC_1	14	103750000	107110000	3360	0
EOCRC_1	14	107110000	107241000	131	0
EOCRC_1	14	107241000	107288000	47	0
EOCRC_1	14	107288000	107349540	62	0
EOCRC_1	15	0	23737000	23737	0
EOCRC_1	15	23737000	23754000	17	0
EOCRC_1	15	23754000	23755000	1	0
EOCRC_1	15	23755000	26401000	2646	0
EOCRC_1	15	26401000	26504000	103	0
EOCRC_1	15	26504000	26510000	6	0
EOCRC_1	15	26510000	26947000	437	0
EOCRC_1	15	26947000	26978000	31	0
EOCRC_1	15	26978000	26982000	4	0
EOCRC_1	15	26982000	27762000	780	0
EOCRC_1	15	27762000	27783000	21	0
EOCRC_1	15	27783000	27793000	10	0
EOCRC_1	15	27793000	28349000	556	0
EOCRC_1	15	28349000	28510000	161	0
EOCRC_1	15	28510000	29735000	1225	0
EOCRC_1	15	29735000	29822000	87	0
EOCRC_1	15	29822000	29825000	3	0
EOCRC_1	15	29825000	30243000	418	0
EOCRC_1	15	30243000	30271000	28	0
EOCRC_1	15	30271000	30275000	4	0
EOCRC_1	15	30275000	30363000	88	0
EOCRC_1	15	30363000	31260000	897	0
EOCRC_1	15	31260000	31268000	8	0
EOCRC_1	15	31268000	31754000	486	0
EOCRC_1	15	31754000	31764000	10	0
EOCRC_1	15	31764000	31766000	2	0
EOCRC_1	15	31766000	34274000	2508	0
EOCRC_1	15	34274000	34410000	136	0
EOCRC_1	15	34410000	34412000	2	0
EOCRC_1	15	34412000	35726000	1314	0
EOCRC_1	15	35726000	35927000	201	0
EOCRC_1	15	35927000	35944000	17	0
EOCRC_1	15	35944000	36994000	1050	0
EOCRC_1	15	36994000	37108000	114	0
EOCRC_1	15	37108000	37111000	3	0
EOCRC_1	15	37111000	38554000	1443	0
EOCRC_1	15	38554000	38666000	112	0
